model,loss,Replacement,Submodels,Ensemble,Sessions,Trials,Voting
model_name,0.6126995086669922,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126996278762817,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126995682716371,False,16,average,32,100,median
model_name,0.6126996278762817,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.6335513591766357,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.6335513591766357,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.633551299571991,False,16,average,32,100,median
model_name,0.5725553631782532,False,16,average,32,200,median
model_name,0.5725553631782532,False,16,average,32,200,median
model_name,0.5725553035736084,False,16,average,32,200,median
model_name,0.5725553035736084,False,16,average,32,200,median
model_name,0.5725553631782532,False,16,average,32,200,median
model_name,0.5725553631782532,False,16,average,32,200,median
model_name,0.5725553035736084,False,16,average,32,200,median
model_name,0.5725553631782532,False,16,average,32,200,median
model_name,0.5725553035736084,False,16,average,32,200,median
model_name,0.5725553631782532,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.6251285076141357,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.625128448009491,False,16,average,32,200,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999170541763306,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999169945716858,False,16,average,64,50,median
model_name,0.5999170541763306,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.5805397629737854,False,16,average,64,50,median
model_name,0.580539882183075,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.580539882183075,False,16,average,64,50,median
model_name,0.5805398225784302,False,16,average,64,50,median
model_name,0.6174949407577515,False,16,average,64,100,median
model_name,0.6174950003623962,False,16,average,64,100,median
model_name,0.6174949407577515,False,16,average,64,100,median
model_name,0.6174949407577515,False,16,average,64,100,median
model_name,0.6174950003623962,False,16,average,64,100,median
model_name,0.6174950003623962,False,16,average,64,100,median
model_name,0.6174949407577515,False,16,average,64,100,median
model_name,0.6174949407577515,False,16,average,64,100,median
model_name,0.6174950003623962,False,16,average,64,100,median
model_name,0.6174950003623962,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878851413726807,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878851413726807,False,16,average,64,100,median
model_name,0.5878852009773254,False,16,average,64,100,median
model_name,0.5878851413726807,False,16,average,64,100,median
model_name,0.6203073859214783,False,16,average,64,200,median
model_name,0.6203074455261229,False,16,average,64,200,median
model_name,0.6203074455261229,False,16,average,64,200,median
model_name,0.6203073859214783,False,16,average,64,200,median
model_name,0.6203073859214783,False,16,average,64,200,median
model_name,0.6203073859214783,False,16,average,64,200,median
model_name,0.6203074455261229,False,16,average,64,200,median
model_name,0.6203073859214783,False,16,average,64,200,median
model_name,0.6203073859214783,False,16,average,64,200,median
model_name,0.6203074455261229,False,16,average,64,200,median
model_name,0.6084380745887756,False,16,average,64,200,median
model_name,0.6084380149841309,False,16,average,64,200,median
model_name,0.6084380149841309,False,16,average,64,200,median
model_name,0.6084381341934204,False,16,average,64,200,median
model_name,0.6084381341934204,False,16,average,64,200,median
model_name,0.6084380745887756,False,16,average,64,200,median
model_name,0.6084380745887756,False,16,average,64,200,median
model_name,0.6084380745887756,False,16,average,64,200,median
model_name,0.6084381341934204,False,16,average,64,200,median
model_name,0.6084380745887756,False,16,average,64,200,median
model_name,0.6238506436347961,False,16,average,128,50,median
