model,loss,Replacement,Submodels,Voting,Ensemble,Sessions,Trials
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906095,FALSE,4,median,average,256,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.611513555,FALSE,4,median,average,32,50
model_name,0.611513495,FALSE,4,median,average,32,50
model_name,0.624664247,FALSE,4,median,average,32,100
model_name,0.624664187,FALSE,4,median,average,32,100
model_name,0.624664187,FALSE,4,median,average,32,100
model_name,0.624664247,FALSE,4,median,average,32,100
model_name,0.6246643070000001,FALSE,4,median,average,32,100
model_name,0.624664187,FALSE,4,median,average,32,100
model_name,0.624664187,FALSE,4,median,average,32,100
model_name,0.624664247,FALSE,4,median,average,32,100
model_name,0.624664187,FALSE,4,median,average,32,100
model_name,0.6246641279999999,FALSE,4,median,average,32,100
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.641133308,FALSE,4,median,average,32,200
model_name,0.6049686670000001,FALSE,4,median,average,64,50
model_name,0.6049686670000001,FALSE,4,median,average,64,50
model_name,0.604968727,FALSE,4,median,average,64,50
model_name,0.6049686670000001,FALSE,4,median,average,64,50
model_name,0.604968727,FALSE,4,median,average,64,50
model_name,0.6049686670000001,FALSE,4,median,average,64,50
model_name,0.6049686670000001,FALSE,4,median,average,64,50
model_name,0.6049686670000001,FALSE,4,median,average,64,50
model_name,0.604968727,FALSE,4,median,average,64,50
model_name,0.604968727,FALSE,4,median,average,64,50
model_name,0.599026918,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.599026918,FALSE,4,median,average,64,100
model_name,0.599026918,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.599026859,FALSE,4,median,average,64,100
model_name,0.603430569,FALSE,4,median,average,64,200
model_name,0.60343051,FALSE,4,median,average,64,200
model_name,0.60343051,FALSE,4,median,average,64,200
model_name,0.60343051,FALSE,4,median,average,64,200
model_name,0.60343051,FALSE,4,median,average,64,200
model_name,0.603430569,FALSE,4,median,average,64,200
model_name,0.603430569,FALSE,4,median,average,64,200
model_name,0.603430569,FALSE,4,median,average,64,200
model_name,0.60343051,FALSE,4,median,average,64,200
model_name,0.60343051,FALSE,4,median,average,64,200
model_name,0.597875595,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.597875714,FALSE,4,median,average,128,50
model_name,0.597875714,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.597875655,FALSE,4,median,average,128,50
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.589083612,FALSE,4,median,average,128,100
model_name,0.589083612,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.5890835520000001,FALSE,4,median,average,128,100
model_name,0.598322511,FALSE,4,median,average,128,200
model_name,0.598322451,FALSE,4,median,average,128,200
model_name,0.598322392,FALSE,4,median,average,128,200
model_name,0.598322392,FALSE,4,median,average,128,200
model_name,0.598322511,FALSE,4,median,average,128,200
model_name,0.598322451,FALSE,4,median,average,128,200
model_name,0.598322451,FALSE,4,median,average,128,200
model_name,0.598322451,FALSE,4,median,average,128,200
model_name,0.598322451,FALSE,4,median,average,128,200
model_name,0.598322392,TRUE,4,median,average,128,200
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.6550464029999999,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.655046463,TRUE,16,median,average,32,50
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6263237595558167,TRUE,16,median,average,32,100
model_name,0.6263237595558167,TRUE,16,median,average,32,100
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6263237595558167,TRUE,16,median,average,32,100
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6263236999511719,TRUE,16,median,average,32,100
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327335834503174,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.6327336430549622,TRUE,16,median,average,32,200
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5916315317153931,TRUE,16,median,average,64,50
